"SALES_MONTH","calender week","DIGITAL_SEARCH_COUNT"
march,"09",31530
march,"10",41065
march,"11",40757
march,"12",41537
march,"13",27390
march,,182279
april,"13",11832
april,"14",33989
april,"15",26308
april,"16",27804
april,"17",26303
april,,126236
may,"18",31154
may,"19",35413
may,"20",28458
may,"21",30735
may,"22",12756
may,,138516
,,447031
